match_id,team1,team2,toss_winner,toss_decision,home_team,crowd_support,pitch_condition,weather_condition,team1_strength,team2_strength,team1_recent_form,team2_recent_form,match_importance,winner,margin_of_victory,top_scorer_team,man_of_the_match,top_wicket_taker,top_scorer_runs,bowling_economy,temperature,humidity,wind_speed,venue
1,Team D,Team A,Team D,bat,Team A,21284,7,Cloudy,68,72,0.06,0.87,Final,Team A,22,Team D,Team A,Player A,69,4.55,37,49,18,Stadium B
2,Team D,Team B,Team B,bowl,Team B,47819,5,Clear,61,71,0.01,0.02,Final,Team B,59,Team D,Team B,Player C,149,3.23,29,44,18,Stadium E
3,Team D,Team E,Team E,bat,Team E,29118,3,Rainy,52,86,0.61,0.17,Final,Team D,18,Team E,Team D,Player D,120,4.35,33,73,12,Stadium A
4,Team D,Team B,Team B,bowl,Team D,33897,5,Cloudy,69,77,0.44,0.12,Group Stage,Team D,8,Team D,Team D,Player B,62,5.89,20,57,3,Stadium A
5,Team A,Team E,Team E,bowl,Team E,29457,6,Cloudy,91,53,0.18,0.97,Knockout,Team E,44,Team E,Team E,Player B,143,3.05,17,69,8,Stadium B
6,Team D,Team B,Team D,bowl,Team D,39127,7,Clear,89,70,0.39,0.27,Group Stage,Team D,24,Team B,Team D,Player E,146,6.01,24,89,1,Stadium C
7,Team D,Team E,Team E,bat,Team D,48044,1,Clear,56,58,0.77,0.2,Final,Team D,11,Team D,Team D,Player A,85,3.88,29,60,2,Stadium C
8,Team C,Team D,Team C,bat,Team C,13561,7,Cloudy,90,77,0.86,0.62,Knockout,Team C,33,Team D,Team C,Player C,103,7.37,29,74,3,Stadium E
9,Team E,Team C,Team C,bowl,Team C,34538,3,Clear,84,86,0.97,0.85,Group Stage,Team E,90,Team E,Team E,Player B,45,3.67,33,86,7,Stadium E
10,Team C,Team A,Team C,bat,Team A,33419,3,Rainy,81,88,0.48,0.56,Knockout,Team A,23,Team C,Team C,Player A,117,4.12,28,60,1,Stadium B
